system;context;classification;statistics;value
matmat;subtraction;topcwa;successN;0.7407407407407407
matmat;subtraction;correct;successG;0.9170960798382363
matmat;subtraction;cwa;successG;0.6971153846153846
matmat;subtraction;missing;successG;0.25164473684210525
matmat;subtraction;other;successG;0.556135770234987
matmat;subtraction;topcwa;successG;0.7306273062730627
matmat;subtraction;correct;leave;0.037001140250855186
matmat;subtraction;cwa;leave;0.05371900826446281
matmat;subtraction;missing;leave;0.09554973821989529
matmat;subtraction;other;leave;0.0780065005417118
matmat;subtraction;topcwa;leave;0.04864864864864865
matmat;subtraction;correct;repetition;0.9646017699115044
matmat;subtraction;cwa;repetition;0.38461538461538464
matmat;subtraction;missing;repetition;0.972972972972973
matmat;subtraction;other;repetition;0.0
matmat;subtraction;topcwa;repetition;0.18518518518518517
matmat;multiplication;correct;freq;0.8199002794367432
matmat;multiplication;cwa;freq;0.02188921155005205
matmat;multiplication;missing;freq;0.0474220590652567
matmat;multiplication;other;freq;0.08191331981809216
matmat;multiplication;topcwa;freq;0.0288751301298559
matmat;multiplication;correct;wfreq;0.0
matmat;multiplication;cwa;wfreq;0.12153939762701552
matmat;multiplication;missing;wfreq;0.2633100091268634
matmat;multiplication;other;wfreq;0.45482202616367506
matmat;multiplication;topcwa;wfreq;0.160328567082446
matmat;multiplication;correct;rtime;7.88
matmat;multiplication;cwa;rtime;12.205
matmat;multiplication;missing;rtime;4.0
matmat;multiplication;other;rtime;11.6305
matmat;multiplication;topcwa;rtime;10.0
matmat;multiplication;correct;successN;0.8977272727272727
matmat;multiplication;cwa;successN;0.6956521739130435
matmat;multiplication;missing;successN;0.36180904522613067
matmat;multiplication;other;successN;0.875
matmat;multiplication;topcwa;successN;0.7083333333333334
matmat;multiplication;correct;successG;0.8743933146005912
matmat;multiplication;cwa;successG;0.726123595505618
matmat;multiplication;missing;successG;0.2975871313672922
matmat;multiplication;other;successG;0.6208251473477406
matmat;multiplication;topcwa;successG;0.7571428571428571
matmat;multiplication;correct;leave;0.05108928094092489
matmat;multiplication;cwa;leave;0.07133917396745933
matmat;multiplication;missing;leave;0.0854997111496245
matmat;multiplication;other;leave;0.09632107023411371
matmat;multiplication;topcwa;leave;0.0825426944971537
matmat;multiplication;correct;repetition;0.90625
matmat;multiplication;cwa;repetition;0.08695652173913043
matmat;multiplication;missing;repetition;0.9396984924623115
matmat;multiplication;other;repetition;0.0
matmat;multiplication;topcwa;repetition;0.125
matmat;division;correct;freq;0.7953345734251671
matmat;division;cwa;freq;0.037253029008094116
matmat;division;missing;freq;0.0812427731134684
matmat;division;other;freq;0.03916344075209894
matmat;division;topcwa;freq;0.047006183701171385
matmat;division;correct;wfreq;0.0
matmat;division;cwa;wfreq;0.18201915991156964
matmat;division;missing;wfreq;0.39695406534021127
matmat;division;other;wfreq;0.19135347580447065
matmat;division;topcwa;wfreq;0.22967329894374847
matmat;division;correct;rtime;5.085
matmat;division;cwa;rtime;7.772
matmat;division;missing;rtime;5.0
matmat;division;other;rtime;8.882
matmat;division;topcwa;rtime;6.707000000000001
matmat;division;correct;successN;0.9076433121019108
matmat;division;cwa;successN;0.7068965517241379
matmat;division;missing;successN;0.31187410586552217
matmat;division;other;successN;0.7272727272727273
matmat;division;topcwa;successN;0.654320987654321
matmat;division;correct;successG;0.8798425086128102
matmat;division;cwa;successG;0.6045801526717557
matmat;division;missing;successG;0.27590940288263555
matmat;division;other;successG;0.4217791411042945
matmat;division;topcwa;successG;0.7230955259975816
matmat;division;correct;leave;0.047345132743362835
matmat;division;cwa;leave;0.05398110661268556
matmat;division;missing;leave;0.053836633663366336
matmat;division;other;leave;0.08729139922978177
matmat;division;topcwa;leave;0.06203208556149733
matmat;division;correct;repetition;0.9442675159235668
matmat;division;cwa;repetition;0.10344827586206896
matmat;division;missing;repetition;0.9828326180257511
matmat;division;other;repetition;0.0
matmat;division;topcwa;repetition;0.2222222222222222
