system;context;classification;statistics;value
slepemapy;Czech Rep.-river;correct;wfreq;0.0
slepemapy;Czech Rep.-river;cwa;wfreq;0.30986326496581623
slepemapy;Czech Rep.-river;missing;wfreq;0.1881774220443555
slepemapy;Czech Rep.-river;other;wfreq;0.27988994497248626
slepemapy;Czech Rep.-river;topcwa;wfreq;0.222069368017342
slepemapy;Czech Rep.-river;correct;rtime;4.762
slepemapy;Czech Rep.-river;cwa;rtime;7.98
slepemapy;Czech Rep.-river;missing;rtime;5.8965
slepemapy;Czech Rep.-river;other;rtime;8.0775
slepemapy;Czech Rep.-river;topcwa;rtime;6.7965
slepemapy;Czech Rep.-river;correct;successN;0.9008427858111814
slepemapy;Czech Rep.-river;cwa;successN;0.6219960765080922
slepemapy;Czech Rep.-river;missing;successN;0.5408368762586708
slepemapy;Czech Rep.-river;other;successN;0.5284356828818607
slepemapy;Czech Rep.-river;topcwa;successN;0.7101377952755905
slepemapy;Czech Rep.-river;correct;successG;0.8338889475510235
slepemapy;Czech Rep.-river;cwa;successG;0.5971826873950806
slepemapy;Czech Rep.-river;missing;successG;0.39591836734693875
slepemapy;Czech Rep.-river;other;successG;0.48788328387734914
slepemapy;Czech Rep.-river;topcwa;successG;0.6588601869534627
slepemapy;Czech Rep.-river;correct;leave;0.017029510678252924
slepemapy;Czech Rep.-river;cwa;leave;0.022669177990044396
slepemapy;Czech Rep.-river;missing;leave;0.032565352237483386
slepemapy;Czech Rep.-river;other;leave;0.029862972892463507
slepemapy;Czech Rep.-river;topcwa;leave;0.020274075464614228
slepemapy;Czech Rep.-river;correct;repetition;0.9008427858111814
slepemapy;Czech Rep.-river;cwa;repetition;0.08607160372731731
slepemapy;Czech Rep.-river;missing;repetition;0.2215260684716939
slepemapy;Czech Rep.-river;other;repetition;0.044107218834207915
slepemapy;Czech Rep.-river;topcwa;repetition;0.14320866141732283
slepemapy;Czech Rep.-mountains;correct;freq;0.7213955522774638
slepemapy;Czech Rep.-mountains;cwa;freq;0.10716215404934862
slepemapy;Czech Rep.-mountains;missing;freq;0.03861096578872889
slepemapy;Czech Rep.-mountains;other;freq;0.07407439171862537
slepemapy;Czech Rep.-mountains;topcwa;freq;0.05875693616583333
slepemapy;Czech Rep.-mountains;correct;wfreq;0.0
slepemapy;Czech Rep.-mountains;cwa;wfreq;0.38463906418346927
slepemapy;Czech Rep.-mountains;missing;wfreq;0.13858704017238727
slepemapy;Czech Rep.-mountains;other;wfreq;0.2658765584115746
slepemapy;Czech Rep.-mountains;topcwa;wfreq;0.21089733723256887
slepemapy;Czech Rep.-mountains;correct;rtime;3.756
slepemapy;Czech Rep.-mountains;cwa;rtime;5.74
slepemapy;Czech Rep.-mountains;missing;rtime;4.56
slepemapy;Czech Rep.-mountains;other;rtime;6.273
slepemapy;Czech Rep.-mountains;topcwa;rtime;5.177
slepemapy;Czech Rep.-mountains;correct;successN;0.8824254933548127
slepemapy;Czech Rep.-mountains;cwa;successN;0.5985228539576366
slepemapy;Czech Rep.-mountains;missing;successN;0.5255564715581204
slepemapy;Czech Rep.-mountains;other;successN;0.5188067444876784
slepemapy;Czech Rep.-mountains;topcwa;successN;0.6606516290726817
slepemapy;Czech Rep.-mountains;correct;successG;0.8012316070848635
slepemapy;Czech Rep.-mountains;cwa;successG;0.5963038318073923
slepemapy;Czech Rep.-mountains;missing;successG;0.41801330798479086
slepemapy;Czech Rep.-mountains;other;successG;0.49432880468652624
slepemapy;Czech Rep.-mountains;topcwa;successG;0.6494288360605125
slepemapy;Czech Rep.-mountains;correct;leave;0.015455215540813657
slepemapy;Czech Rep.-mountains;cwa;leave;0.01832733093237295
slepemapy;Czech Rep.-mountains;missing;leave;0.023545091070635273
slepemapy;Czech Rep.-mountains;other;leave;0.023619312261201807
slepemapy;Czech Rep.-mountains;topcwa;leave;0.019997080718143337
slepemapy;Czech Rep.-mountains;correct;repetition;0.8824254933548127
slepemapy;Czech Rep.-mountains;cwa;repetition;0.10925306577480491
slepemapy;Czech Rep.-mountains;missing;repetition;0.21805441055234956
slepemapy;Czech Rep.-mountains;other;repetition;0.04388240380458279
slepemapy;Czech Rep.-mountains;topcwa;repetition;0.17042606516290726
slepemapy;Europe-state;correct;freq;0.7506606577811871
slepemapy;Europe-state;cwa;freq;0.08435324575702369
slepemapy;Europe-state;missing;freq;0.02763064531594592
slepemapy;Europe-state;other;freq;0.08438009396874101
slepemapy;Europe-state;topcwa;freq;0.05297535717710231
slepemapy;Europe-state;correct;wfreq;0.0
slepemapy;Europe-state;cwa;wfreq;0.3383070036456491
slepemapy;Europe-state;missing;wfreq;0.11081542555646141
slepemapy;Europe-state;other;wfreq;0.3384146810441631
slepemapy;Europe-state;topcwa;wfreq;0.2124628897537264
slepemapy;Europe-state;correct;rtime;3.824
slepemapy;Europe-state;cwa;rtime;5.779
slepemapy;Europe-state;missing;rtime;4.422000000000001
slepemapy;Europe-state;other;rtime;6.055
slepemapy;Europe-state;topcwa;rtime;5.4375
slepemapy;Europe-state;correct;successN;0.8937960527327826
slepemapy;Europe-state;cwa;successN;0.6275771899829026
slepemapy;Europe-state;missing;successN;0.5006548788474132
slepemapy;Europe-state;other;successN;0.5020681945220794
slepemapy;Europe-state;topcwa;successN;0.6951099442074171
slepemapy;Europe-state;correct;successG;0.826152337012763
slepemapy;Europe-state;cwa;successG;0.6249695552632861
slepemapy;Europe-state;missing;successG;0.4023704604163501
slepemapy;Europe-state;other;successG;0.471976401179941
slepemapy;Europe-state;topcwa;successG;0.6755524648431463
slepemapy;Europe-state;correct;leave;0.01224222853522451
slepemapy;Europe-state;cwa;leave;0.021097621970627017
slepemapy;Europe-state;missing;leave;0.03234314269850083
slepemapy;Europe-state;other;leave;0.03131818181818182
slepemapy;Europe-state;topcwa;leave;0.020489429481610193
slepemapy;Europe-state;correct;repetition;0.8937960527327826
slepemapy;Europe-state;cwa;repetition;0.09655033692044654
slepemapy;Europe-state;missing;repetition;0.19875573018991485
slepemapy;Europe-state;other;repetition;0.043487982112912243
slepemapy;Europe-state;topcwa;repetition;0.12717426977354776
slepemapy;Africa-state;correct;freq;0.6622502092964001
slepemapy;Africa-state;cwa;freq;0.07074218323444836
slepemapy;Africa-state;missing;freq;0.05836639609798711
slepemapy;Africa-state;other;freq;0.15315946565719069
slepemapy;Africa-state;topcwa;freq;0.05548174571397372
